标题,状态,处理人,优先级,标签
笔记录音链路（落库 / 行内播放 / 转出带录音 / 容器嗅探）,已完成,,P1,基础设施
角色管理页重构（菜单可见性并入矩阵 + 列表视图按模块罗列）,已完成,,P0,权限安全
权限判据双轨制收口（自建 controller 切到 module 体系 + 菜单白名单修复）,已完成,,P0,权限安全
会议纪要可见范围（公开 / 部门内可见 / 指定部门可见 / 指定用户可见 / 仅自己可见 + 部门负责人跨部门可见 + 参会/缺席/列席多选）,已完成,,P0,权限安全
日常跟进 / 家校沟通 / 学生观察 三合一为「学生记录」（类型域权限 + 数据迁移 + 蓝绿部署）,已完成,,P0,学生闭环
学生记录列表操作列支持录音播放（行内播放抽成公共 hook，getnote 与附件字段共用）,已完成,,P1,学生闭环
记录人 / 负责人默认取源笔记归属人（学生记录 + 招生跟进，含历史数据回填）,已完成,,P1,学生闭环
招生跟进操作列录音播放 + 学生记录记录人列移到时间后 + 详情页附件统一为播放器,已完成,,P2,学生闭环
「取笔记归属人」推广到全部走笔记转换的模块（实践活动 / 阶段评价 / 校友跟进 / 会议纪要）,已完成,,P1,学生闭环
学生记录列表表单重排 + 详情页按类型显隐（UI 统一）+ 主题时间取自笔记 + 历史补齐,已完成,,P0,学生闭环
学生记录详情页加分区标题（与编辑表单同一套分区；CrudView 复用 section）,已完成,,P2,学生闭环
会议纪要表单改版：部门多选树 + 可搜索多选（112 复选框→4 输入框）+ 选部门自动联动，判据合并到 id 口径 + 存量回填,已完成,,P0,组织管理
用户管理角色显示统一（身份模拟页渲染 key）+ RoleLabels 缓存 bug,已完成,,P0,组织管理
招生跟进「沟通主题」超链接格式统一（openRecord 列统一链接样式）,已完成,,P1,招生管理
报表下钻数字与报表逐项对齐（#570：卡片 hint + likely 口径 + weak 静默全表）,已完成,,P0,报表管理
报表按角色授权（11 张报表各自权限点 + 迁移依据 module:reports:read + 403 消息修正）,已完成,,P0,报表管理
成绩配置四页面（批次 / 等级体系+绩点 / 类型权重 / 学生目标）+ 成绩册列字段与免考缺考录入,已完成,,P0,教学管理
七个页面下拉统一改读字典（8 个新 key）+ 考核类型读类型表 + 口径值归一防静默算反,已完成,,P0,教学管理
成绩册「新建考核列」考核类型改下拉（候选=类型表，标出本班权重）+ 清理 6 处显示星号的文案,已完成,,P0,教学管理
成绩册考核列科目改读字典授课科目 · 编辑列不刷新(缺 key) · 成绩目标不显示(只认等级名) · 目标等级序号改下拉+序号非法显式提示 · 选学生自动带班级（含 selectLabels）,已完成,,P0,教学管理
考核类型加「考核类型组」（左组右类型，组可停用且停用后别处不可用，含存量回填）· 行为记录学生下拉带英文名 · 行为分类改读字典（课堂纪律/作业提交/文明礼貌）,已完成,,P0,教学管理
成绩类型权重改成批量向导（选班→选组→勾选类型→统一填权重→一次保存）,已完成,,P1,教学管理
成绩册加学年/学期筛选（列加归属 + 未归属兜底 + 结转按批次同期）· 新建考核列改弹出框 · 科目多选一次建多列 · 作业转成绩册按钮+弹窗,已完成,,P0,教学管理
学生记录新增「IDP沟通」记录类型（复用日常跟进权限）+ 收起独立 IDP 沟通入口（2 处入口 + 3 路由重定向）+ 字典数据补写（含字典文件结构踩坑）,已完成,,P0,教学管理
学生记录记录类型再加「学生沟通」（与 IDP沟通 同批：复用日常跟进权限）+ 测试断言改动态推导,已完成,,P0,教学管理
首页 logo 旧附件待人工重传,待开始,,P2,数据质量
「我的笔记」归档 / 激活 + 状态筛选（默认只看「有效」）+ 归档笔记不可转换（409 NOTE_ARCHIVED）,已完成,,P1,基础设施
招生跟进 / 校友跟进 / 实践活动「负责人」默认 = 当前登录用户（修 RecordMeta.readonly 导致负责人根本存不进去 + 修「保存后点修改联系人看着没带出」）,已完成,,P0,招生管理
「负责人」口径收口到 packages/contracts/defaultFollowupOwner（一处判据三模块共用）+ 前端 useCurrentUserName,已完成,,P1,招生管理
修「已被关联到知识库配置，却仍被要求自己配凭证」（configured 与 viaSource 两套可见性判据不一致）,已完成,,P1,权限安全
学生记录「权限矩阵里勾了却不生效」：补声明 module:weilingContacts:* + 容器行 typeScope.allTypesModuleKey + 403 提示改人话,已完成,,P0,权限安全
导出页「学生记录」改为按记录类型分别导出（三合一项不再指向合并前的旧空表）+ 逐类型行数与库核对,已完成,,P1,报表管理
报表新卡「使用统计」：跨 5 个模块看谁在用、用了多少（三个「数字会对不上」的口径做成判据 + 37 项单测）,已完成,,P1,报表管理
「我的笔记」筛选收口：状态下拉去掉重复的「全部」+ 触发器统一成「标签：当前值」+ 提示条 N 的口径改为「挡掉 ∧ 归档」,已完成,,P1,基础设施
招生跟进加「学生姓名」列 · 联系人管理加「学生姓名」列 · 学生观察加「沟通方式」 · 修学生列超链接（根因 linkBackfill） · 笔记统计按人漏人 · 审计时间缺时分秒,已完成,,P1,学生闭环
新菜单「会议室助手」（组织管理）：读飞书会议室房间 / 层级 / 设备 + 可用度 + 找空闲（含三处真实接口结构修正）,已完成,,P1,组织管理
招生跟进「学生姓名」：选完联系人自动带出（联动 patch 挂错列，自 9-19 起从未生效）+ 改为只读 + 存量 9 条回填,已完成,,P1,招生管理
知识库配置「归属人」= 该配置服务的账号主人（管理员代建时不再归到创建者名下）+ 存量归属数据更正,已完成,,P0,权限安全
笔记音频：来源字段落库（根因）+ 每日 06:30 自动抓取 + 列表标出「待抓取」,已完成,,P1,基础设施
全站下拉筛选统一：FilterSelect 抽成公共组件（补多选与 clearable）+ 清 3 份副本 + 28 处原生 select 收口,已完成,,P2,基础设施
学生详情页「关联笔记」聚合：全路径（本人 + 各类学生记录 + 招生跟进）+ 来源标注 + 跨模块权限过滤,已完成,,P1,学生闭环
学生档案「相关邮件」：修掉关联字段等值筛导致恒 0 条（邮件已关联却看不到）+ 补齐发件人 / 附件清单（文件名可点下载）/ 发送时间到日,已完成,,P1,学生闭环
学生档案：字段「入学年份」改名「入学年月」（四层同批：表单/字典/acms_fields/82 行数据键）+ 新增「入学年份」（2021–2030）与「Arete入学年」（第1年–第10年）+ 列表隐藏 4 列、新增 2 列,已完成,,P1,学生闭环
新菜单「定时任务」（后台管理·仅系统管理员）：归档任务搬成数据行 ⇒ 可增删改 + 操作列「运行」「补归档」；支持每天/每周几、启用开关、输出内容、按人分文件夹、补跑窗口；改目标文件夹时提示是否补归档,已完成,,P1,基础设施
成绩册「学科分行」视图：同一考核项的多学科列（日常 · 数学 / 日常 · 英语 / 日常 · 生物学）归并为一列（表头按考核项显示、不再重复科目）+ 归并列的编辑按科目切换、删除按科目批量删并二次确认,已完成,,P1,教学管理
